지역중분류명,관람매출,사회및기타매출,쇼핑매출,스포츠매출,오락매출,취미매출,휴식매출,관람이용,사회및기타이용,쇼핑이용,스포츠이용,오락이용,취미이용,휴식이용
4471,0,66140358,2425154192,126418390,7586100,42737418,269000,0,1134,136382,3668,151,1655,18
4476,0,79618800,1410493437,69270230,3300010,39854190,4122000,0,1423,83530,1041,94,1476,169
4477,0,117167650,2053168252,159996120,2345000,48002400,0,0,1489,135744,3149,69,1644,0
4479,0,63792010,603846301,38500400,5214000,22259004,0,0,592,47088,969,45,781,0
4480,0,280943780,4173841011,628110588,46062700,264423422,2414900,0,2993,278550,24116,1231,8188,160
4481,0,247448801,3351607983,293439870,51435000,133921823,25564500,0,4166,280669,8034,436,4539,1154
4482,108589000,233981600,6156381717,522291328,25544000,106651085,7894200,4445,2831,368145,18639,428,3730,532
4511,122857950,3029041918,53034937531,9347698251,735938600,5691032839,44412340,7872,56015,4283352,322110,14102,159882,2037
4513,30589865,2299167230,17981300701,2213423892,171003260,1004408944,19206600,1819,31051,1294810,92563,3932,30484,776
4514,0,1338509784,18430886230,2159380935,281998600,866625016,12743300,0,29605,1283046,91338,5186,26154,855
4518,0,593867997,5607626178,697774895,6006000,235662572,2784100,0,6954,367336,26225,182,7827,337
4519,29973500,310361150,2628433051,532666610,568000,138122134,3295500,4006,4429,192686,11767,17,4276,140
4521,0,127026280,3456388569,204911290,7695000,129132420,236000,0,1315,229226,3420,273,4268,6
4571,0,323770882,5565886798,408197560,3658500,200528002,0,0,4465,427431,20147,139,6784,0
4572,0,10532100,666272214,2389000,0,12066500,0,0,69,36631,6,0,415,0
4573,0,25355078,936159363,42071800,0,16739000,0,0,161,78047,839,0,425,0
4574,0,27487800,269250060,86000,0,8237530,0,0,407,23720,5,0,274,0
4575,0,12139900,662206367,755000,0,9563510,0,0,287,40790,19,0,429,0
4577,0,50519300,750662442,76785210,0,19945050,0,0,384,47761,1582,0,723,0
4579,0,136129400,2213704962,207298367,4042000,39875460,0,0,914,157457,5122,263,1338,0
4580,0,152238480,2751114060,219687492,0,51597350,2491000,0,1953,149197,7976,0,1827,131
4611,0,2665320531,17147393252,2148596674,173447500,901351625,18553400,0,36568,1175189,55310,3953,29659,1621
4613,614674070,3421404846,18219617344,3490423105,80437500,1193116978,56369255,34833,41515,1430541,100916,1756,35851,2619
4615,0,1876280085,15706325844,2596964280,92448500,1613463503,14111900,0,31204,1090208,96575,1219,39813,1219
4617,0,284913600,3983336118,516258331,1916000,370597348,76500,0,3504,336856,22374,52,10071,10
4623,15906700,2002066986,8988998677,1055780743,75571800,701597805,50085400,953,25421,650013,45821,1277,23212,2040
4671,126631600,41980600,1781310817,19510800,829042,50305212,1937000,16038,1175,87484,511,30,1569,94
4672,0,20082500,467351011,176500,0,9896050,0,0,529,36476,17,0,432,0
4673,52345550,72312600,834097126,21679500,183000,15601712,0,3224,1002,44630,283,4,532,0
4677,0,333305000,2101893410,208946324,0,42925735,3231800,0,3969,121692,4375,0,1345,75
4678,5785000,83810500,1491554017,28566900,0,20651100,1873500,336,1390,74543,655,0,753,34
4679,0,220475731,2423856480,291341420,8956000,86503400,10122465,0,3721,180909,8353,208,3268,513
4680,1240100,120055911,1380689429,142388220,987000,39458000,129000,66,1617,74444,5159,15,1174,6
4681,16322400,100793252,1133239800,84966290,2487000,25879100,3093800,386,1209,65247,3899,46,1034,133
4682,51404600,337040000,2026966507,385723393,124000,70783500,7335500,2595,3612,128864,7885,4,1979,426
4683,0,237563467,3219576025,95601180,7336000,79247148,0,0,3519,257988,3974,186,3706,0
4684,0,279581134,4063041645,381501364,11935500,357438540,0,0,5238,276700,29117,374,10687,0
4686,0,6502000,361935292,0,225000,12862000,0,0,84,21423,0,7,442,0
4687,0,146660000,2491109487,210984900,310000,94459710,1536511,0,1519,127551,4665,8,2876,100
4688,0,15269000,1122141469,25498400,0,34422118,0,0,113,91282,1375,0,1349,0
4689,0,456471000,2239317497,217415447,0,56104730,2040100,0,3136,125506,6351,0,1739,186
4690,2384200,146335100,1074276470,78142900,62000,39668000,0,50,1461,55457,1742,3,1098,0
4691,12239000,6103000,840224269,14078800,0,0,0,721,101,36157,289,0,0,0
4711,60103400,3098983110,37580713782,4306905045,479385361,2417543276,95542100,3653,38268,2620112,168146,7396,70992,4644
4713,522327910,919606734,20939382833,11559074334,168428000,685506383,30098026,30765,14697,1439648,143329,2399,23318,1305
4715,0,190357900,5819628665,1288996307,33253120,234508542,0,0,1629,414570,29243,725,7647,0
4717,0,628121185,5955202664,1144557380,51749920,446378905,3981000,0,8088,491654,30020,861,12706,379
4719,47896808,1290006996,34652236925,3332355385,307028027,1966690404,11963950,2900,21535,2531599,139538,5578,62793,489
4721,0,314680700,3541816173,777881165,686000,214690530,0,0,3919,256855,18791,12,6045,0
4723,653500,259356200,6618705511,578750800,40579320,248167330,22830500,142,2679,408388,17277,501,8078,996
4725,0,174048980,4180676270,1109197865,12776000,175311046,28740600,0,2193,259683,14752,413,5560,946
4728,45115900,146356100,2264048122,401122510,9485000,86662709,0,7029,1334,162197,10013,188,3226,0
4729,0,596103538,25781785646,2468296192,215356866,1115092193,11562400,0,10462,1996855,150661,8836,38540,322
4772,0,2850000,960520110,5349400,0,6623000,0,0,14,71043,172,0,240,0
4773,0,11649900,1086830728,87944150,2113000,12529100,0,0,208,58530,2483,34,388,0
4775,0,9295000,828858269,0,1016000,2250000,0,0,48,35359,0,8,62,0
4776,0,44374500,483645488,1040500,0,3756000,0,0,236,25677,33,0,131,0
4777,0,125072100,2622330950,132076900,6192010,37089500,7891400,0,1226,153429,3242,82,1059,269
4782,0,17279400,1773226210,100884720,1372000,9073150,0,0,176,97202,2763,17,347,0
4783,0,6833000,2760920631,16898948,2410000,18960400,0,0,38,163510,536,38,643,0
4784,0,14342000,1392506438,41286300,495000,30838000,8307100,0,66,106542,2564,9,948,394
4785,0,223815331,9373677864,929859031,79003808,345341181,584500,0,3505,727339,40531,1221,12322,31
4790,0,108364900,1415576248,55368160,2551000,67298735,0,0,1688,91600,538,27,2224,0
4792,0,35628024,854053315,14356700,0,4757000,0,0,274,40298,40,0,181,0
4793,0,291936700,2588379430,229876921,22777000,49990700,4033200,0,2170,167794,3527,224,1691,312
4794,63394500,67733500,847487905,12611000,0,5089000,0,4250,417,50493,51,0,189,0
4812,130036410,8442240850,96329395342,7781013470,403446445,5399060615,384303870,8511,100918,6466023,389053,11291,153578,20379
4817,51007000,1714617704,19817228144,2714685983,173177198,1394657228,118072790,3667,25419,1340321,114329,2875,39199,2989
4822,91000,1216394635,6925480519,1231078060,24571500,432869085,48474000,12,12413,537201,37229,429,12528,1932
4824,0,709738953,5817422267,705069338,30464800,308606339,22807200,0,5239,425533,27455,704,10096,724
4825,0,2329324528,45023531069,4710993617,137098060,2883481606,187812310,0,29613,3046323,208887,4324,80410,7304
4827,27542100,227562390,6723952871,206724480,22800500,140710440,6579300,1273,1669,390432,7212,408,4465,426
4831,0,1110460154,12111030342,1229760758,143985500,618511060,15619900,0,12077,1027515,51783,4160,20453,836
4833,2833000,1921450076,33497885027,4274287084,115773100,1874692964,139522200,13,28531,2076001,154705,2816,59142,8786
4872,0,101440500,422811680,3577800,0,21770000,364400,0,635,38721,81,0,782,27
4873,0,189752314,5802118655,304093800,4152000,93190440,12542010,0,2187,367194,11599,131,3405,358
4874,0,98160100,4192760302,162538810,449000,50718112,7050500,0,863,224433,3672,7,1746,352
4882,0,183882800,1695176397,90528100,2960000,66392500,23136300,0,1561,141488,4873,84,1993,739
4884,14629500,57309888,2874036643,1762042767,1266000,43915550,568200,1288,282,167041,15247,36,1374,39
4885,0,32458500,1509862294,92906800,0,25325200,86000,0,331,87526,1961,0,819,4
4886,0,8960800,1402857504,4541000,0,11345000,0,0,91,70417,72,0,387,0
4887,0,99241136,1533088962,74950110,1302000,21800000,0,0,721,103383,1007,37,801,0
4888,0,114022200,2651939073,297991098,4751000,68040070,9825400,0,1281,148797,10944,51,2287,270
4889,0,54163510,1020859287,53330610,0,25463515,21712900,0,336,55208,457,0,827,319
5011,387984720,3555922493,61633349358,12241666257,110493394,3789300756,61626240,19567,43094,3825950,256395,6160,95883,3253
5013,1273157430,1106904752,22068619774,8497144028,30043500,665301050,946000,43995,14663,1366067,88837,578,17444,71
