여가활동코드명
"1. 전시회 관람 (미술, 사진, 건축, 디자인 등)"
2. 박물관 관람
"3. 음악연주회 관람 (클래식, 오페라 등)"
"4. 전통예술공연 관람 (국악, 민속놀이 등)"
5. 연극공연 관람 (뮤지컬 포함)
6. 무용공연 관람
7. 영화관람
"8. 연예공연 관람 (쇼, 콘서트, 마술 쇼 등)"
9. 문학행사참여
10. 글짓기/독서토론
"11. 미술활동 (그림, 서예, 조각, 디자인, 도예, 만화 등)"
12. 악기연주/노래교실
"13. 전통예술 배우기 (사물놀이, 줄타기 등)"
14. 사진촬영 (디지털카메라 포함)
"15. 춤/무용 (발레, 한국무용,  방송댄스, 스트릿댄스, 비보잉 등)"
"16. 스포츠 경기 직접관람- 경기장방문관람 (축구, 야구, 농구, 배구 등)"
"17. 스포츠 경기 간접관람- TV, DMB를 통한관람 (축구, 야구, 농구, 배구 등)"
"18. 격투 스포츠 경기관람 (태권도, 유도, 합기도, 검도, 권투 등)"
19. 온라인게임 경기관람 (e-스포츠 경기 포함)
"20. 농구, 배구, 야구, 축구, 족구"
"21. 테니스, 스쿼시"
22. 당구/포켓볼
"23. 볼링, 탁구"
24. 골프
25. 수영
"26. 윈드서핑, 수상스키, 스킨스쿠버다이빙, 래프팅, 요트"
"27. 스노보드, 스키 등"
"28. 아이스스케이트, 아이스하키 등"
29. 헬스(보디빌딩)/에어로빅
30. 요가/필라테스/태보
"31. 배드민턴/줄넘기/맨손,스트레칭 체조/훌라후프"
32. 육상/조깅/속보
"33. 격투 스포츠 (태권도, 유도, 합기도, 검도, 권투 등)"
"34. 댄스스포츠 (탱고, 왈츠, 자이브, 맘보,폴카, 차차차 등)"
35. 사이클링/산악자전거
36. 인라인스케이트
"37. 승마, 암벽등반, 철인삼종경기, 서바이벌"
"38. 문화유적방문 (고궁, 절, 유적지 등)"
39. 자연명승 및 풍경 관람
40. 삼림욕
41. 국내캠핑
42. 해외여행
43. 소풍/야유회
44. 온천/해수욕
45. 유람선 타기
46. 테마파크가기/놀이공원/동물원/식물원 가기
47. 지역축제 참가
48. 자동차 드라이브
49. 수집활동 (스크랩 포함)
"50. 생활공예 (십자수, 비즈공예, DIY, 꽃꽃이 등)"
51. 요리하기/다도
52. 반려동물 돌보기
53. 노래방 가기
"54. 인테리어 (집,자동차 등)"
55. 등산
56. 낚시
57. 홈페이지/블로그 관리
58. 인터넷 검색/1인 미디어 제작/SNS
59. 게임 (온라인/모바일/콘솔게임 등)
60. 보드게임/퍼즐/큐브 맞추기
61. 바둑/장기/체스
"62. 겜블 (경마, 경륜, 카지노, 카드놀이, 고스톱, 마작 등)/복권구입"
63. 쇼핑/외식
64. 음주
65. 독서 (웹소설 포함)
66. 만화보기 (웹툰 포함)
"67. 미용 (피부관리, 헤어관리, 네일아트, 마사지, 성형 등)"
"68. 어학/기술/자격증 취득 공부, 학원 등 이용"
"69. 이색/테마카페 체험 (방탈출, VR, 낚시카페 등)"
"70. 원예 (화분, 화단가꾸기 등)"
71. 산책 및 걷기
72. 목욕/사우나/찜질방
73. 낮잠
74. TV시청 (IPTV 포함)
"75. 모바일 컨텐츠, 동영상, VOD 시청"
76. 라디오/팟캐스트 청취
77. 음악 감상
78. 신문/잡지보기
79. 아무것도 안 하기
80. 사회봉사활동
81. 종교활동
82. 클럽/나이트/디스코/캬바레 가기
83. 가족 및 친지방문
84. 잡담/통화하기/문자보내기 (모바일 메신저 메시지 사용 포함)
85. 계모임/동창회/사교(파티)모임
86. 친구만남/이성교제/미팅/소개팅
87. 동호회 모임
88. 위에서 분류되지 않은 기타 여가활동
